province,municipality,party,ward_list_order,seat_category,surname,full_name,seat_type
Eastern Cape,EC104 - Makana,AFRICAN NATIONAL CONGRESS,PR(2),PR,VARA,YANOISWA PORTIA,LC PR
Eastern Cape,EC104 - Makana,AFRICAN NATIONAL CONGRESS,PR(3),PR,VAYO,THANDOLWETHU INNOCENT,LC PR
Eastern Cape,EC104 - Makana,DEMOCRATIC ALLIANCE,21004004,Ward,EMBLING,GEOFFREY KEITH WYSTAN,LC ward
Eastern Cape,EC104 - Makana,DEMOCRATIC ALLIANCE,21004008,Ward,CLARK,CAROLYNN,LC ward
Eastern Cape,EC104 - Makana,DEMOCRATIC ALLIANCE,PR(1),PR,SIZANI,LUVUYO RODNEY,LC PR
Eastern Cape,EC104 - Makana,DEMOCRATIC ALLIANCE,PR(2),PR,JACKSON,BRIAN PETER NEVILLE,LC PR
Eastern Cape,EC104 - Makana,DEMOCRATIC ALLIANCE,PR(3),PR,MADYO,XOLANI GLADMAN,LC PR
Eastern Cape,EC104 - Makana,ECONOMIC FREEDOM FIGHTERS,PR(1),PR,BENTELE,ANELISA ANNALISA,LC PR
Eastern Cape,EC104 - Makana,ECONOMIC FREEDOM FIGHTERS,PR(2),PR,BOOYSEN,MZAMO,LC PR
Eastern Cape,EC104 - Makana,INDEPENDENT CANDIDATE,21004014,Ward,NESI,VUYANI,LC ward
Eastern Cape,EC104 - Makana,MAKANA CITIZENS FRONT,PR(1),PR,MXUBE,LUNGILE PACIFIST REGINALD,LC PR
Eastern Cape,EC104 - Makana,MAKANA CITIZENS FRONT,PR(2),PR,MACHANICK,PHILIP,LC PR
Eastern Cape,EC104 - Makana,MAKANA CITIZENS FRONT,PR(3),PR,BRADSHAW,MARGARET JANE,LC PR
Eastern Cape,EC104 - Makana,MAKANA CITIZENS FRONT,PR(4),PR,MASHIANE,KUNGEKA GAYNOR,LC PR
Eastern Cape,EC104 - Makana,MAKANA CITIZENS FRONT,PR(5),PR,WALTON,ERIC JONATHAN,LC PR
Eastern Cape,EC105 - Ndlambe,AFRICAN NATIONAL CONGRESS,21005001,Ward,NYUMKA,ASANDA,LC ward
Eastern Cape,EC105 - Ndlambe,AFRICAN NATIONAL CONGRESS,21005002,Ward,KHUNGWAYO,PHUMLANI,LC ward
Eastern Cape,EC105 - Ndlambe,AFRICAN NATIONAL CONGRESS,21005003,Ward,MYALI,ZANDISILE WELCOME,LC ward
Eastern Cape,EC105 - Ndlambe,AFRICAN NATIONAL CONGRESS,21005004,Ward,KOLOSA,SIMPHIWE,LC ward
Eastern Cape,EC105 - Ndlambe,AFRICAN NATIONAL CONGRESS,21005005,Ward,SWELI,MZWANDILE,LC ward
Eastern Cape,EC105 - Ndlambe,AFRICAN NATIONAL CONGRESS,21005007,Ward,ZWENI,SIBUSISO,LC ward
Eastern Cape,EC105 - Ndlambe,AFRICAN NATIONAL CONGRESS,21005008,Ward,BUKANI,AYANDA,LC ward
Eastern Cape,EC105 - Ndlambe,AFRICAN NATIONAL CONGRESS,21005009,Ward,MELANI,SIYABULELA IRVAN,LC ward
Eastern Cape,EC105 - Ndlambe,AFRICAN NATIONAL CONGRESS,PR(1),PR,MARASI,ANDILE LENOX,LC PR
Eastern Cape,EC105 - Ndlambe,AFRICAN NATIONAL CONGRESS,PR(2),PR,DINISO,ATHENKOSI WARREN,LC PR
Eastern Cape,EC105 - Ndlambe,AFRICAN NATIONAL CONGRESS,PR(3),PR,DYAKALA,THANDISWA SIPHOKAZI,LC PR
Eastern Cape,EC105 - Ndlambe,DEMOCRATIC ALLIANCE,21005006,Ward,WALKER,EDWARD HILDRETH KEILLOR,LC ward
Eastern Cape,EC105 - Ndlambe,DEMOCRATIC ALLIANCE,21005010,Ward,HAYNES,NADINE ENID,LC ward
Eastern Cape,EC105 - Ndlambe,DEMOCRATIC ALLIANCE,PR(1),PR,VENENE,SIKHUMBUZO,LC PR
Eastern Cape,EC105 - Ndlambe,DEMOCRATIC ALLIANCE,PR(2),PR,KANI,YEDWA PHIL,LC PR
Eastern Cape,EC105 - Ndlambe,DEMOCRATIC ALLIANCE,PR(3),PR,JOHANNES,WATUSE GLADMAN,LC PR
Eastern Cape,EC105 - Ndlambe,DEMOCRATIC ALLIANCE,PR(4),PR,MBEKELA,TUNYELWA,LC PR
Eastern Cape,EC105 - Ndlambe,ECONOMIC FREEDOM FIGHTERS,PR(1),PR,RUNELI,XOLISA,LC PR
Eastern Cape,EC105 - Ndlambe,ECONOMIC FREEDOM FIGHTERS,PR(2),PR,MGWEBA,MZWANDILE WISEMAN,LC PR
Eastern Cape,EC105 - Ndlambe,ECONOMIC FREEDOM FIGHTERS,PR(3),PR,MEMANI,NOKUTULA FAITH,LC PR
Eastern Cape,EC106 - Sundays River Valley,AFRICAN NATIONAL CONGRESS,21006001,Ward,PAYI,MANDILE CHRISTOPHER,LC ward
Eastern Cape,EC106 - Sundays River Valley,AFRICAN NATIONAL CONGRESS,21006002,Ward,LANGBOOI,NOMBASA,LC ward
Eastern Cape,EC106 - Sundays River Valley,AFRICAN NATIONAL CONGRESS,21006003,Ward,JONAS,XOLANI JOSEPH,LC ward
Eastern Cape,EC106 - Sundays River Valley,AFRICAN NATIONAL CONGRESS,21006004,Ward,BAKA,LUNGA ERIC,LC ward
Eastern Cape,EC106 - Sundays River Valley,AFRICAN NATIONAL CONGRESS,21006005,Ward,QUSHEKA,ZOYISILE,LC ward
Eastern Cape,EC106 - Sundays River Valley,AFRICAN NATIONAL CONGRESS,21006006,Ward,BAXANA,NOKUZOLA RODA,LC ward
Eastern Cape,EC106 - Sundays River Valley,AFRICAN NATIONAL CONGRESS,21006008,Ward,NCAMBELE,PRINCESS NELISA,LC ward
Eastern Cape,EC106 - Sundays River Valley,AFRICAN NATIONAL CONGRESS,PR(1),PR,NODONTI,SISEKO CECIL,LC PR
Eastern Cape,EC106 - Sundays River Valley,AFRICAN NATIONAL CONGRESS,PR(2),PR,JACK,NDILEKA,LC PR
Eastern Cape,EC106 - Sundays River Valley,AFRICAN NATIONAL CONGRESS,PR(3),PR,JAGERS,HESTER,LC PR
Eastern Cape,EC106 - Sundays River Valley,DEMOCRATIC ALLIANCE,21006007,Ward,NDAWO,ANELE MATTHEWS,LC ward
Eastern Cape,EC106 - Sundays River Valley,DEMOCRATIC ALLIANCE,PR(1),PR,SMITH,KAREN,LC PR
Eastern Cape,EC106 - Sundays River Valley,DEMOCRATIC ALLIANCE,PR(2),PR,BOSMAN,MINETTE,LC PR
Eastern Cape,EC106 - Sundays River Valley,DEMOCRATIC ALLIANCE,PR(3),PR,DARIES,BASSIER,LC PR
Eastern Cape,EC106 - Sundays River Valley,ECONOMIC FREEDOM FIGHTERS,PR(1),PR,DYANTYI,BULELANI,LC PR
Eastern Cape,EC106 - Sundays River Valley,GOOD,PR(1),PR,HENDRICKS,HUBERT SEBASTIAN,LC PR
Eastern Cape,EC108 - Kouga,AFRICAN NATIONAL CONGRESS,21008001,Ward,NTSHOTA,NOZUKO PRINCESS,LC ward
Eastern Cape,EC108 - Kouga,AFRICAN NATIONAL CONGRESS,21008006,Ward,NDZELANI,KHOLISILE JAMES,LC ward
Eastern Cape,EC108 - Kouga,AFRICAN NATIONAL CONGRESS,21008007,Ward,MBUQU,ERIC THEMBEKILE,LC ward
Eastern Cape,EC108 - Kouga,AFRICAN NATIONAL CONGRESS,21008010,Ward,MBANDANA,MSINGATHI GERALD,LC ward
Eastern Cape,EC108 - Kouga,AFRICAN NATIONAL CONGRESS,21008013,Ward,ZANA,VUYANI CORNELIUS,LC ward
Eastern Cape,EC108 - Kouga,AFRICAN NATIONAL CONGRESS,21008014,Ward,YALI,MZWANDILE,LC ward
Eastern Cape,EC108 - Kouga,AFRICAN NATIONAL CONGRESS,PR(1),PR,DAYIMANI,MALIBONGWE EMANUEL,LC PR
Eastern Cape,EC108 - Kouga,AFRICAN NATIONAL CONGRESS,PR(2),PR,GUNUZA,VUYOKAZI PRIMROSE,LC PR
Eastern Cape,EC108 - Kouga,AFRICAN NATIONAL CONGRESS,PR(3),PR,NTENGWANE,NOMALUNGELO CYNTHIA,LC PR
Eastern Cape,EC108 - Kouga,AFRICAN NATIONAL CONGRESS,PR(4),PR,VALGEE,MARGARET,LC PR
Eastern Cape,EC108 - Kouga,AFRICAN NATIONAL CONGRESS,PR(5),PR,OLIPHANT,PHUMZILE JOSEPH,LC PR
Eastern Cape,EC108 - Kouga,DEMOCRATIC ALLIANCE,21008002,Ward,MURRAY,HENRY,LC ward
Eastern Cape,EC108 - Kouga,DEMOCRATIC ALLIANCE,21008003,Ward,GERTENBACH,WILLEM PETRUS DORMEHL,LC ward
Eastern Cape,EC108 - Kouga,DEMOCRATIC ALLIANCE,21008004,Ward,ALEXANDER,ELDRED JAQUES,LC ward
Eastern Cape,EC108 - Kouga,DEMOCRATIC ALLIANCE,21008005,Ward,BIKO,MELANIE FREDERIKA,LC ward
Eastern Cape,EC108 - Kouga,DEMOCRATIC ALLIANCE,21008008,Ward,FOLEY,REINHARDT,LC ward
Eastern Cape,EC108 - Kouga,DEMOCRATIC ALLIANCE,21008009,Ward,AUGUST,CYNTHIA CECILY,LC ward
Eastern Cape,EC108 - Kouga,DEMOCRATIC ALLIANCE,21008011,Ward,HEYSTEK,ANDRIES STEPHANUS,LC ward
Eastern Cape,EC108 - Kouga,DEMOCRATIC ALLIANCE,21008012,Ward,MAREE,LORRAINE LAETITIA,LC ward
Eastern Cape,EC108 - Kouga,DEMOCRATIC ALLIANCE,21008015,Ward,JANTJES,TIMOTHY WEDLYNN,LC ward
Eastern Cape,EC108 - Kouga,DEMOCRATIC ALLIANCE,PR(1),PR,HENDRICKS,HORATIO MARIO,LC PR
Eastern Cape,EC108 - Kouga,DEMOCRATIC ALLIANCE,PR(2),PR,WILLIAMS,BRENTON JOHN,LC PR
Eastern Cape,EC108 - Kouga,DEMOCRATIC ALLIANCE,PR(3),PR,BORNMAN,CHRIS HATTINGH,LC PR
Eastern Cape,EC108 - Kouga,DEMOCRATIC ALLIANCE,PR(4),PR,VAN NIEKERK,MARTHINA LYNETTE,LC PR
Eastern Cape,EC108 - Kouga,DEMOCRATIC ALLIANCE,PR(5),PR,BENSON,DANIEL,LC PR
Eastern Cape,EC108 - Kouga,DEMOCRATIC ALLIANCE,PR(6),PR,RUTH,SHENA ROSANNE,LC PR
Eastern Cape,EC108 - Kouga,DEMOCRATIC ALLIANCE,PR(7),PR,DHLUDHLU,BRYAN,LC PR
Eastern Cape,EC108 - Kouga,ECONOMIC FREEDOM FIGHTERS,PR(1),PR,NKILISHANE,LUVUYO WISEMAN,LC PR
Eastern Cape,EC108 - Kouga,PATRIOTIC ALLIANCE,PR(1),PR,PIETERSEN,FRANS,LC PR
Eastern Cape,EC108 - Kouga,VRYHEIDSFRONT PLUS,PR(1),PR,VAN DER LINDE,WILHELMUS GERHARDUS,LC PR
Eastern Cape,EC109 - Kou-Kamma,AFRICAN NATIONAL CONGRESS,21009001,Ward,FILLIS,RONWELL CEDERICK,LC ward
Eastern Cape,EC109 - Kou-Kamma,AFRICAN NATIONAL CONGRESS,21009002,Ward,CAMPHER,RONNIE GIDEON,LC ward
Eastern Cape,EC109 - Kou-Kamma,AFRICAN NATIONAL CONGRESS,21009004,Ward,PERSENT,VUYANI XOLISILE ENOCH,LC ward
Eastern Cape,EC109 - Kou-Kamma,AFRICAN NATIONAL CONGRESS,21009005,Ward,NCETHEZO,SMILO DANNY-BOY,LC ward
Eastern Cape,EC109 - Kou-Kamma,AFRICAN NATIONAL CONGRESS,21009006,Ward,SIKIWE,NOMATHAMSANQA,LC ward
Eastern Cape,EC109 - Kou-Kamma,AFRICAN NATIONAL CONGRESS,PR(1),PR,YAKE,FUZILE JAN,LC PR
Eastern Cape,EC109 - Kou-Kamma,DEMOCRATIC ALLIANCE,PR(1),PR,SMIT,KERNEELS,LC PR
Eastern Cape,EC109 - Kou-Kamma,DEMOCRATIC ALLIANCE,PR(2),PR,KRIGE,JAMES RICHARD,LC PR
Eastern Cape,EC109 - Kou-Kamma,DEMOCRATIC ALLIANCE,PR(3),PR,STRYDOM,FRANCOIS,LC PR
Eastern Cape,EC109 - Kou-Kamma,INDEPENDENT CANDIDATE,21009003,Ward,MAASDORP,DADLEY,LC ward
Eastern Cape,EC109 - Kou-Kamma,PATRIOTIC ALLIANCE,PR(1),PR,JANTJIES,BENDIM TIRONE,LC PR
Eastern Cape,EC109 - Kou-Kamma,VRYHEIDSFRONT PLUS,PR(1),PR,FERGUSON,SHARON,LC PR
Eastern Cape,DC12 - Amathole,AFRICAN NATIONAL CONGRESS,PR(1),PR,NDIKINDA,NCEBA,"DC ""40%"""
Eastern Cape,DC12 - Amathole,AFRICAN NATIONAL CONGRESS,PR(2),PR,MANELI,KHANYILE CHRISTIAN,"DC ""40%"""
Eastern Cape,DC12 - Amathole,AFRICAN NATIONAL CONGRESS,PR(3),PR,MGIDLANA,NONDUMISO VIRGINIA,"DC ""40%"""
Eastern Cape,DC12 - Amathole,AFRICAN NATIONAL CONGRESS,PR(4),PR,NYATELA,NOMFESANE,"DC ""40%"""
Eastern Cape,DC12 - Amathole,AFRICAN NATIONAL CONGRESS,PR(5),PR,BUNGENI,ZUKISWA GRACIOUS,"DC ""40%"""
Eastern Cape,DC12 - Amathole,AFRICAN NATIONAL CONGRESS,PR(6),PR,PHUMAPHI,FUMANEKILE,"DC ""40%"""
Eastern Cape,DC12 - Amathole,AFRICAN NATIONAL CONGRESS,PR(7),PR,GEZA,NOMONDE MAVIS,"DC ""40%"""
Eastern Cape,DC12 - Amathole,AFRICAN NATIONAL CONGRESS,PR(8),PR,PLIKA,LUNGA TONY,"DC ""40%"""
Eastern Cape,DC12 - Amathole,AFRICAN NATIONAL CONGRESS,PR(9),PR,MADIKANE,ABEGAIL BUKELWA,"DC ""40%"""
Eastern Cape,DC12 - Amathole,AFRICAN NATIONAL CONGRESS,PR(10),PR,MNGXASO,XANTI,"DC ""40%"""
Eastern Cape,DC12 - Amathole,AFRICAN NATIONAL CONGRESS,PR(11),PR,MFECANE,NONCEBA OLGA,"DC ""40%"""
Eastern Cape,DC12 - Amathole,AFRICAN NATIONAL CONGRESS,PR(12),PR,KETELO,BANDILE,"DC ""40%"""
Eastern Cape,DC12 - Amathole,AFRICAN NATIONAL CONGRESS,PR(13),PR,RULASHE,NANZIWE,"DC ""40%"""
Eastern Cape,DC12 - Amathole,AFRICAN NATIONAL CONGRESS,PR(14),PR,SOTSHONONDA,NTSAPO,"DC ""40%"""
Eastern Cape,DC12 - Amathole,AFRICAN TRANSFORMATION MOVEMENT,PR(1),PR,TIMA,PUMZILE,"DC ""40%"""
Eastern Cape,DC12 - Amathole,DEMOCRATIC ALLIANCE,PR(1),PR,LOMBARD,JEAN,"DC ""40%"""
Eastern Cape,DC12 - Amathole,ECONOMIC FREEDOM FIGHTERS,PR(1),PR,MPEPO,ONGA,"DC ""40%"""
Eastern Cape,DC12 - Amathole,ECONOMIC FREEDOM FIGHTERS,PR(2),PR,MAVUSO,SIPHIWO,"DC ""40%"""
Eastern Cape,DC12 - Amathole,UNITED DEMOCRATIC MOVEMENT,PR(1),PR,SITOLE,PATRICK SIMILO,"DC ""40%"""
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201001,Ward,QUVILE,IRENE NOMACHULE,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201002,Ward,SAKI,MZIKAYISE,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201003,Ward,GOBINDUKU,ZUKILE CHRISTOPHER,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201004,Ward,FUTSHANE,SIMPHIWE,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201005,Ward,SISULU,MBULELO MANUEL,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201006,Ward,NODLIWA,THOBELA,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201007,Ward,GAVEN,BUYISWA,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201008,Ward,MPATUSE,ANDA,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201009,Ward,SIGWAYI,KUNGEKA,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201010,Ward,FIPAZA,ERNEST,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201011,Ward,NGOLOTHI,NONYUSILE,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201012,Ward,MURU,MNIKELO VINCENT,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201013,Ward,TOYANA,SONWABILE,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201014,Ward,MPUNZI,LUYANDA,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201015,Ward,MDABUKA,SIYABULELA,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201016,Ward,STAFANA,NOSIPHO,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201017,Ward,NTSHONTSHO,NOSIPHO NANCY,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201018,Ward,MAHOBE,LUNGISA,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201019,Ward,METHU,PHUMELELE,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201020,Ward,SITWAYI,SHEPSTONE THETHEMINI,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201021,Ward,KOPOLO,NONCEDILE,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201022,Ward,NDINISA,SILULAMI,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201023,Ward,KHUMELWANA,LULAMILE,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201024,Ward,SITHELA,BONISWA,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201026,Ward,GENYANE,WILSON,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201027,Ward,NOKELE,TAMELLA,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201029,Ward,NXUSANI,THEOPHILUS MANELISI,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201030,Ward,ZUMA,PATRICK PATUXOLO,LC ward
Eastern Cape,EC121 - Mbhashe,AFRICAN NATIONAL CONGRESS,21201031,Ward,LABHATALA,SIMOTHULELE,LC ward
